Team,Player,Probability
Real-Oviedo,Alvaro Lemos,0%
Real-Sociedad,Alex Remiro,95%
Real-Sociedad,Igor Zubeldia,90%
Real-Sociedad,Jon Martin,70%
Real-Sociedad,Jon Aramburu,70%
Real-Sociedad,Sergio Gomez,50%
Real-Sociedad,Jon Gorrotxategi,50%
Real-Sociedad,Brais Mendez,70%
Real-Sociedad,Luka Sucic,50%
Real-Sociedad,Takefusa Kubo,80%
Real-Sociedad,Mikel Oyarzabal,70%
Real-Sociedad,Orri Steinn Skarsson,70%
Real-Sociedad,Aihen Munoz,50%
Real-Sociedad,Pablo Marin,50%
Real-Sociedad,Benat Turrientes,40%
Real-Sociedad,Goncalo Guedes,30%
Real-Sociedad,Ander Barrenetxea,30%
Real-Sociedad,Urko Gonzalez De Zarate,30%
Real-Sociedad,Aritz Elustondo,30%
Real-Sociedad,Inaki Ruperez,20%
Real-Sociedad,Duje Caleta Car,20%
Real-Sociedad,Javi Lopez 1,10%
Real-Sociedad,Jon Pacheco,10%
Real-Sociedad,Hamari Traore,10%
Real-Sociedad,Unai Marrero,5%
Real-Sociedad,Carlos Fernandez,0%
Real-Sociedad,Jon Karrikaburu,0%
Real-Sociedad,Umar Sadiq,0%
Real-Sociedad,Sheraldo Becker,0%
Real-Sociedad,Arkaitz Mariezkurrena,0%
Real-Sociedad,Arsen Zakharyan,0%
Real-Sociedad,Alvaro Odriozola,0%
Sevilla,Rjan Nyland,95%
Sevilla,Loc Bade,50%
Sevilla,Kike Salas,90%
Sevilla,Jose Ngel Carmona,80%
Sevilla,Gabriel Suazo,80%
Sevilla,Lucien Agoume,70%
Sevilla,Nemanja Gudelj,60%
Sevilla,Djibril Sow,80%
Sevilla,Dodi Lukebakio,90%
Sevilla,Alfonso Gonzalez,70%
Sevilla,Akor Adams,60%
Sevilla,Ruben Vargas,50%
Sevilla,Stanis Idumbo Muzambo,50%
Sevilla,Marcao,50%
Sevilla,Isaac Romero,40%
Sevilla,Peque,30%
Sevilla,Chidera Ejuke,30%
Sevilla,Adria Pedrosa,20%
Sevilla,Manu Bueno,20%
Sevilla,Alvaro Fernandez,5%
Sevilla,Rafa Mir,0%
Sevilla,Kelechi Iheanacho,0%
Sevilla,Adnan Januzaj,0%
Sevilla,Juanlu Sanchez,0%
Sevilla,Joan Jordan,0%
Sevilla,Ramon Martinez,0%
Sevilla,Tanguy Kouassi,0%
Valencia,Julen Agirrezabala,90%
Valencia,Cesar Tarrega,90%
Valencia,Jose Manuel Copete,50%
Valencia,Dimitri Foulquier,90%
Valencia,Jose Gaya,95%
Valencia,Pepelu,50%
Valencia,Javi Guerra 1,90%
Valencia,Luis Rioja,90%
Valencia,Diego Lopez 1,80%
Valencia,Hugo Duro,90%
Valencia,Daniel Raba,80%
Valencia,Baptiste Santamaria,40%
Valencia,Mouctar Diakhaby,40%
Valencia,Fran Perez,30%
Valencia,Andre Almeida 1,20%
Valencia,Eray Cmert,20%
Valencia,Jesus Vazquez 1,5%
Valencia,Stole Dimitrievski,5%
Valencia,Cristian Rivero,5%
Valencia,Sergi Canos,0%
Valencia,Hugo Guillamon,0%
Valencia,Alberto Mari,0%
Valencia,Thierry Correia,0%
Villarreal,Luiz Junior,70%
Villarreal,Juan Foyth,95%
Villarreal,Rafa Marin,80%
Villarreal,Santiago Mourino,70%
Villarreal,Sergi Cardona,90%
Villarreal,Dani Parejo,70%
Villarreal,Pape Gueye,50%
Villarreal,Nicolas Pepe,80%
Villarreal,Yeremi Pino,50%
Villarreal,Etta Eyong,70%
Villarreal,Gerard Moreno,60%
Villarreal,Alberto Moleiro,50%
Villarreal,Santi Comesana,50%
Villarreal,Pau Navarro,45%
Villarreal,Ayoze Perez,40%
Villarreal,Tajon Buchanan,30%
Villarreal,Alfonso Pedraza,30%
Villarreal,Diego Conde,30%
Villarreal,Thomas Teye,10%
Villarreal,Arnaut Danjuma,10%
Villarreal,Pau Cabanes,10%
Villarreal,Denis Suarez,10%
Villarreal,Ilias Akhomach,0%
Villarreal,Adria Altimira,0%
Villarreal,Logan Costa,0%
Villarreal,Willy Kambwala,0%
